inventory_accounting_id,dealership_id,vehicle_id,accounting_date,acquisition_date,control_account_category,acquisition_cost,capitalized_transportation,capitalized_reconditioning,capitalized_accessories,other_capitalized_costs,write_down_amount,current_book_value,floorplan_principal,days_in_stock,source_system
IAS-00000129,GSA-002,VEH-0000253,2025-07-31,2025-07-15,New Vehicle Inventory,36033.32,895.00,117.00,0.00,0.00,0.00,37045.32,36033.32,16,SYNTHETIC-DMS-ACCOUNTING
IAS-00000130,GSA-002,VEH-0000267,2025-07-31,2025-04-14,Used Vehicle Inventory,11673.68,0.00,3107.25,0.00,0.00,0.00,14780.93,11673.68,108,SYNTHETIC-DMS-ACCOUNTING
IAS-00000131,GSA-002,VEH-0000278,2025-07-31,2025-07-25,Used Vehicle Inventory,41492.55,450.00,1206.26,0.00,0.00,0.00,43148.81,0.00,6,SYNTHETIC-DMS-ACCOUNTING
IAS-00000132,GSA-002,VEH-0000280,2025-07-31,2025-06-20,Certified Vehicle Inventory,17346.57,0.00,2054.28,249.00,425.00,0.00,20074.85,17346.57,41,SYNTHETIC-DMS-ACCOUNTING
IAS-00000133,GSA-002,VEH-0000301,2025-07-31,2025-07-24,Certified Vehicle Inventory,19539.61,0.00,2096.55,0.00,425.00,0.00,22061.16,0.00,7,SYNTHETIC-DMS-ACCOUNTING
IAS-00000134,GSA-002,VEH-0000311,2025-07-31,2025-07-24,New Vehicle Inventory,35529.66,895.00,159.00,0.00,0.00,0.00,36583.66,35529.66,7,SYNTHETIC-DMS-ACCOUNTING
IAS-00000135,GSA-002,VEH-0000325,2025-07-31,2025-07-30,New Vehicle Inventory,23257.52,895.00,151.00,0.00,0.00,0.00,24303.52,23257.52,1,SYNTHETIC-DMS-ACCOUNTING
IAS-00000136,GSA-002,VEH-0000338,2025-07-31,2025-05-20,New Vehicle Inventory,22609.43,895.00,68.00,0.00,0.00,0.00,23572.43,22609.43,72,SYNTHETIC-DMS-ACCOUNTING
IAS-00000137,GSA-002,VEH-0000353,2025-07-31,2025-07-06,New Vehicle Inventory,26667.24,895.00,131.00,0.00,0.00,0.00,27693.24,26667.24,25,SYNTHETIC-DMS-ACCOUNTING
IAS-00000138,GSA-002,VEH-0000355,2025-07-31,2025-07-05,Used Vehicle Inventory,32244.92,325.00,1304.58,0.00,0.00,0.00,33874.50,0.00,26,SYNTHETIC-DMS-ACCOUNTING
IAS-00000139,GSA-002,VEH-0000388,2025-07-31,2025-06-01,Used Vehicle Inventory,14676.41,325.00,2560.18,0.00,0.00,0.00,17561.59,14676.41,60,SYNTHETIC-DMS-ACCOUNTING
IAS-00000140,GSA-002,VEH-0000398,2025-07-31,2025-06-27,Used Vehicle Inventory,7046.15,0.00,1722.62,0.00,0.00,0.00,8768.77,7046.15,34,SYNTHETIC-DMS-ACCOUNTING
IAS-00000141,GSA-002,VEH-0000408,2025-07-31,2025-06-26,Used Vehicle Inventory,31024.63,0.00,1126.71,0.00,0.00,0.00,32151.34,31024.63,35,SYNTHETIC-DMS-ACCOUNTING
IAS-00000142,GSA-002,VEH-0000412,2025-07-31,2025-07-22,Used Vehicle Inventory,2962.85,0.00,1090.34,0.00,0.00,0.00,4053.19,2962.85,9,SYNTHETIC-DMS-ACCOUNTING
IAS-00000143,GSA-002,VEH-0000416,2025-07-31,2025-05-19,New Vehicle Inventory,35371.57,895.00,158.00,249.00,0.00,0.00,36673.57,35371.57,73,SYNTHETIC-DMS-ACCOUNTING
IAS-00000144,GSA-002,VEH-0000423,2025-07-31,2025-06-06,New Vehicle Inventory,37038.65,895.00,7.00,0.00,0.00,0.00,37940.65,37038.65,55,SYNTHETIC-DMS-ACCOUNTING
IAS-00000145,GSA-002,VEH-0000429,2025-07-31,2025-06-27,New Vehicle Inventory,34861.81,895.00,89.00,395.00,0.00,0.00,36240.81,34861.81,34,SYNTHETIC-DMS-ACCOUNTING
IAS-00000146,GSA-002,VEH-0000431,2025-07-31,2025-07-11,Used Vehicle Inventory,10205.25,450.00,2062.77,575.00,0.00,0.00,13293.02,10205.25,20,SYNTHETIC-DMS-ACCOUNTING
IAS-00000147,GSA-002,VEH-0000452,2025-07-31,2025-03-26,New Vehicle Inventory,22577.31,895.00,110.00,575.00,0.00,903.09,23254.22,22577.31,127,SYNTHETIC-DMS-ACCOUNTING
IAS-00000148,GSA-002,VEH-0000457,2025-07-31,2025-07-30,Certified Vehicle Inventory,12590.82,325.00,2670.63,0.00,425.00,0.00,16011.45,0.00,1,SYNTHETIC-DMS-ACCOUNTING
IAS-00000149,GSA-002,VEH-0000467,2025-07-31,2025-06-17,Used Vehicle Inventory,1676.12,0.00,755.79,0.00,0.00,0.00,2431.91,1676.12,44,SYNTHETIC-DMS-ACCOUNTING
IAS-00000150,GSA-002,VEH-0000468,2025-07-31,2025-05-07,New Vehicle Inventory,29405.35,895.00,153.00,0.00,0.00,0.00,30453.35,29405.35,85,SYNTHETIC-DMS-ACCOUNTING
IAS-00000151,GSA-002,VEH-0000481,2025-07-31,2025-05-13,Used Vehicle Inventory,5960.49,0.00,1869.73,0.00,0.00,0.00,7830.22,0.00,79,SYNTHETIC-DMS-ACCOUNTING
IAS-00000152,GSA-002,VEH-0000494,2025-07-31,2025-04-24,Used Vehicle Inventory,15829.92,450.00,3011.01,0.00,0.00,0.00,19290.93,15829.92,98,SYNTHETIC-DMS-ACCOUNTING
IAS-00000153,GSA-002,VEH-0000505,2025-07-31,2025-07-16,Used Vehicle Inventory,9700.25,0.00,2842.07,0.00,0.00,0.00,12542.32,9700.25,15,SYNTHETIC-DMS-ACCOUNTING
IAS-00000154,GSA-002,VEH-0000513,2025-07-31,2025-04-11,New Vehicle Inventory,35625.27,895.00,40.00,0.00,0.00,0.00,36560.27,35625.27,111,SYNTHETIC-DMS-ACCOUNTING
IAS-00000155,GSA-002,VEH-0000517,2025-07-31,2025-07-03,Used Vehicle Inventory,1703.35,450.00,762.87,575.00,0.00,0.00,3491.22,1703.35,28,SYNTHETIC-DMS-ACCOUNTING
IAS-00000156,GSA-002,VEH-0000522,2025-07-31,2025-03-26,New Vehicle Inventory,34982.09,895.00,102.00,0.00,0.00,1399.28,34579.81,34982.09,127,SYNTHETIC-DMS-ACCOUNTING
IAS-00000157,GSA-002,VEH-0000529,2025-07-31,2025-05-09,Certified Vehicle Inventory,6746.11,450.00,2073.99,0.00,425.00,0.00,9695.10,0.00,83,SYNTHETIC-DMS-ACCOUNTING
IAS-00000158,GSA-002,VEH-0000538,2025-07-31,2025-02-27,New Vehicle Inventory,35773.72,895.00,109.00,0.00,0.00,1430.95,35346.77,35773.72,154,SYNTHETIC-DMS-ACCOUNTING
IAS-00000159,GSA-002,VEH-0000541,2025-07-31,2025-07-11,Used Vehicle Inventory,24182.39,450.00,2433.65,0.00,0.00,0.00,27066.04,24182.39,20,SYNTHETIC-DMS-ACCOUNTING
IAS-00000160,GSA-002,VEH-0000545,2025-07-31,2025-07-19,Used Vehicle Inventory,3768.90,450.00,1299.91,0.00,0.00,0.00,5518.81,3768.90,12,SYNTHETIC-DMS-ACCOUNTING
IAS-00000161,GSA-002,VEH-0000549,2025-07-31,2025-07-05,New Vehicle Inventory,35374.39,895.00,32.00,0.00,0.00,0.00,36301.39,35374.39,26,SYNTHETIC-DMS-ACCOUNTING
IAS-00000162,GSA-002,VEH-0000566,2025-07-31,2025-07-03,Certified Vehicle Inventory,10125.53,0.00,2582.04,0.00,425.00,0.00,13132.57,10125.53,28,SYNTHETIC-DMS-ACCOUNTING
IAS-00000163,GSA-002,VEH-0000568,2025-07-31,2025-07-18,Used Vehicle Inventory,7496.99,0.00,1705.53,0.00,0.00,0.00,9202.52,7496.99,13,SYNTHETIC-DMS-ACCOUNTING
IAS-00000164,GSA-002,VEH-0000576,2025-07-31,2025-01-31,New Vehicle Inventory,36103.45,895.00,126.00,0.00,0.00,1444.14,35680.31,36103.45,181,SYNTHETIC-DMS-ACCOUNTING
IAS-00000165,GSA-002,VEH-0000580,2025-07-31,2025-06-28,Certified Vehicle Inventory,13289.31,0.00,3775.22,0.00,425.00,0.00,17489.53,13289.31,33,SYNTHETIC-DMS-ACCOUNTING
IAS-00000166,GSA-002,VEH-0000597,2025-07-31,2025-07-15,New Vehicle Inventory,36958.80,895.00,109.00,575.00,0.00,0.00,38537.80,36958.80,16,SYNTHETIC-DMS-ACCOUNTING
IAS-00000167,GSA-002,VEH-0000604,2025-07-31,2025-06-05,New Vehicle Inventory,35293.03,895.00,106.00,0.00,0.00,0.00,36294.03,35293.03,56,SYNTHETIC-DMS-ACCOUNTING
IAS-00000168,GSA-002,VEH-0000610,2025-07-31,2025-06-13,Used Vehicle Inventory,4556.91,0.00,1504.80,575.00,0.00,0.00,6636.71,0.00,48,SYNTHETIC-DMS-ACCOUNTING
IAS-00000169,GSA-002,VEH-0000626,2025-07-31,2025-06-03,New Vehicle Inventory,36479.47,895.00,117.00,0.00,0.00,0.00,37491.47,36479.47,58,SYNTHETIC-DMS-ACCOUNTING
IAS-00000170,GSA-002,VEH-0000627,2025-07-31,2025-07-09,Used Vehicle Inventory,12409.39,325.00,1207.81,0.00,0.00,0.00,13942.20,12409.39,22,SYNTHETIC-DMS-ACCOUNTING
IAS-00000171,GSA-002,VEH-0000653,2025-07-31,2025-03-03,New Vehicle Inventory,35030.18,895.00,128.00,0.00,0.00,1401.21,34651.97,35030.18,150,SYNTHETIC-DMS-ACCOUNTING
IAS-00000172,GSA-002,VEH-0000663,2025-07-31,2025-05-15,New Vehicle Inventory,27389.25,895.00,15.00,0.00,0.00,0.00,28299.25,27389.25,77,SYNTHETIC-DMS-ACCOUNTING
IAS-00000173,GSA-002,VEH-0000666,2025-07-31,2025-07-29,Certified Vehicle Inventory,6454.30,0.00,1998.12,0.00,425.00,0.00,8877.42,0.00,2,SYNTHETIC-DMS-ACCOUNTING
IAS-00000174,GSA-002,VEH-0000704,2025-07-31,2025-07-30,Used Vehicle Inventory,2370.43,325.00,936.31,0.00,0.00,0.00,3631.74,2370.43,1,SYNTHETIC-DMS-ACCOUNTING
IAS-00000175,GSA-002,VEH-0000720,2025-07-31,2025-06-28,Used Vehicle Inventory,3202.15,450.00,1152.56,0.00,0.00,0.00,4804.71,0.00,33,SYNTHETIC-DMS-ACCOUNTING
IAS-00000176,GSA-002,VEH-0000724,2025-07-31,2025-05-09,Used Vehicle Inventory,29024.46,0.00,920.28,0.00,0.00,0.00,29944.74,29024.46,83,SYNTHETIC-DMS-ACCOUNTING
IAS-00000177,GSA-002,VEH-0000749,2025-07-31,2025-07-29,New Vehicle Inventory,35645.09,895.00,110.00,0.00,0.00,0.00,36650.09,35645.09,2,SYNTHETIC-DMS-ACCOUNTING
IAS-00000178,GSA-002,VEH-0000765,2025-07-31,2025-06-25,Used Vehicle Inventory,2091.27,325.00,863.73,395.00,0.00,0.00,3675.00,2091.27,36,SYNTHETIC-DMS-ACCOUNTING
IAS-00000179,GSA-002,VEH-0000769,2025-07-31,2025-05-10,New Vehicle Inventory,35259.34,895.00,162.00,0.00,0.00,0.00,36316.34,35259.34,82,SYNTHETIC-DMS-ACCOUNTING
IAS-00000180,GSA-002,VEH-0000770,2025-07-31,2025-07-14,Certified Vehicle Inventory,2707.86,0.00,1024.04,0.00,425.00,0.00,4156.90,0.00,17,SYNTHETIC-DMS-ACCOUNTING
IAS-00000181,GSA-002,VEH-0000775,2025-07-31,2025-07-15,New Vehicle Inventory,37166.09,895.00,83.00,880.00,0.00,0.00,39024.09,37166.09,16,SYNTHETIC-DMS-ACCOUNTING
IAS-00000182,GSA-002,VEH-0000780,2025-07-31,2025-04-09,Certified Vehicle Inventory,9481.42,0.00,2785.17,0.00,425.00,0.00,12691.59,0.00,113,SYNTHETIC-DMS-ACCOUNTING
IAS-00000183,GSA-002,VEH-0000786,2025-07-31,2025-06-04,New Vehicle Inventory,36983.06,895.00,150.00,0.00,0.00,0.00,38028.06,36983.06,57,SYNTHETIC-DMS-ACCOUNTING
IAS-00000184,GSA-002,VEH-0000808,2025-07-31,2025-05-11,New Vehicle Inventory,35157.78,895.00,38.00,0.00,0.00,0.00,36090.78,35157.78,81,SYNTHETIC-DMS-ACCOUNTING
IAS-00000185,GSA-002,VEH-0000820,2025-07-31,2025-07-05,New Vehicle Inventory,35295.00,895.00,94.00,0.00,0.00,0.00,36284.00,35295.00,26,SYNTHETIC-DMS-ACCOUNTING
IAS-00000186,GSA-002,VEH-0000823,2025-07-31,2025-07-14,New Vehicle Inventory,23874.64,895.00,70.00,0.00,0.00,0.00,24839.64,23874.64,17,SYNTHETIC-DMS-ACCOUNTING
IAS-00000187,GSA-002,VEH-0000825,2025-07-31,2025-04-16,New Vehicle Inventory,37216.37,895.00,163.00,0.00,0.00,0.00,38274.37,37216.37,106,SYNTHETIC-DMS-ACCOUNTING
IAS-00000188,GSA-002,VEH-0000833,2025-07-31,2025-07-24,Used Vehicle Inventory,16342.03,0.00,2651.43,0.00,0.00,0.00,18993.46,16342.03,7,SYNTHETIC-DMS-ACCOUNTING
IAS-00000189,GSA-002,VEH-0000838,2025-07-31,2025-07-07,Certified Vehicle Inventory,17976.27,0.00,1068.91,249.00,425.00,0.00,19719.18,17976.27,24,SYNTHETIC-DMS-ACCOUNTING
IAS-00000190,GSA-002,VEH-0000878,2025-07-31,2025-03-31,Certified Vehicle Inventory,30493.52,0.00,2036.44,0.00,425.00,1219.74,31735.22,30493.52,122,SYNTHETIC-DMS-ACCOUNTING
IAS-00000191,GSA-002,VEH-0000889,2025-07-31,2025-06-04,Used Vehicle Inventory,22428.21,0.00,2159.86,880.00,0.00,0.00,25468.07,22428.21,57,SYNTHETIC-DMS-ACCOUNTING
IAS-00000192,GSA-002,VEH-0000895,2025-07-31,2025-06-26,Used Vehicle Inventory,2263.52,0.00,908.52,0.00,0.00,0.00,3172.04,0.00,35,SYNTHETIC-DMS-ACCOUNTING
IAS-00000193,GSA-003,VEH-0000002,2025-07-31,2025-05-23,Used Vehicle Inventory,14895.50,0.00,1376.27,0.00,0.00,0.00,16271.77,0.00,69,SYNTHETIC-DMS-ACCOUNTING
IAS-00000194,GSA-003,VEH-0000092,2025-07-31,2025-04-03,Used Vehicle Inventory,8219.18,0.00,2456.99,0.00,0.00,0.00,10676.17,0.00,119,SYNTHETIC-DMS-ACCOUNTING
IAS-00000195,GSA-003,VEH-0000099,2025-07-31,2025-05-08,Used Vehicle Inventory,8164.41,0.00,2011.94,249.00,0.00,0.00,10425.35,0.00,84,SYNTHETIC-DMS-ACCOUNTING
IAS-00000196,GSA-003,VEH-0000127,2025-07-31,2025-07-04,Used Vehicle Inventory,7431.88,325.00,2252.29,0.00,0.00,0.00,10009.17,7431.88,27,SYNTHETIC-DMS-ACCOUNTING
IAS-00000197,GSA-003,VEH-0000145,2025-07-31,2025-07-12,Used Vehicle Inventory,2942.71,0.00,1085.10,0.00,0.00,0.00,4027.81,2942.71,19,SYNTHETIC-DMS-ACCOUNTING
IAS-00000198,GSA-003,VEH-0000148,2025-07-31,2025-06-25,Used Vehicle Inventory,29225.48,450.00,2440.48,0.00,0.00,0.00,32115.96,29225.48,36,SYNTHETIC-DMS-ACCOUNTING
IAS-00000199,GSA-003,VEH-0000154,2025-07-31,2025-06-05,Used Vehicle Inventory,10796.42,0.00,1971.82,0.00,0.00,0.00,12768.24,10796.42,56,SYNTHETIC-DMS-ACCOUNTING
IAS-00000200,GSA-003,VEH-0000158,2025-07-31,2025-06-09,Used Vehicle Inventory,27445.80,0.00,1845.34,880.00,0.00,0.00,30171.14,0.00,52,SYNTHETIC-DMS-ACCOUNTING
IAS-00000201,GSA-003,VEH-0000163,2025-07-31,2025-06-26,Used Vehicle Inventory,26165.42,325.00,2391.39,0.00,0.00,0.00,28881.81,26165.42,35,SYNTHETIC-DMS-ACCOUNTING
IAS-00000202,GSA-003,VEH-0000174,2025-07-31,2025-07-21,Used Vehicle Inventory,28798.96,0.00,611.27,0.00,0.00,0.00,29410.23,28798.96,10,SYNTHETIC-DMS-ACCOUNTING
IAS-00000203,GSA-003,VEH-0000197,2025-07-31,2025-06-02,Used Vehicle Inventory,6871.39,0.00,1053.24,0.00,0.00,0.00,7924.63,0.00,59,SYNTHETIC-DMS-ACCOUNTING
IAS-00000204,GSA-003,VEH-0000201,2025-07-31,2025-06-30,Used Vehicle Inventory,13044.29,450.00,1815.56,0.00,0.00,0.00,15309.85,0.00,31,SYNTHETIC-DMS-ACCOUNTING
IAS-00000205,GSA-003,VEH-0000219,2025-07-31,2025-05-15,Used Vehicle Inventory,11724.49,0.00,2805.57,0.00,0.00,0.00,14530.06,0.00,77,SYNTHETIC-DMS-ACCOUNTING
IAS-00000206,GSA-003,VEH-0000230,2025-07-31,2025-07-31,Used Vehicle Inventory,1838.03,0.00,797.89,0.00,0.00,0.00,2635.92,0.00,0,SYNTHETIC-DMS-ACCOUNTING
IAS-00000207,GSA-003,VEH-0000242,2025-07-31,2025-07-01,Used Vehicle Inventory,26240.65,0.00,1563.10,880.00,0.00,0.00,28683.75,0.00,30,SYNTHETIC-DMS-ACCOUNTING
IAS-00000208,GSA-003,VEH-0000265,2025-07-31,2025-06-05,Used Vehicle Inventory,5456.84,450.00,1738.78,0.00,0.00,0.00,7645.62,5456.84,56,SYNTHETIC-DMS-ACCOUNTING
IAS-00000209,GSA-003,VEH-0000268,2025-07-31,2025-06-11,Used Vehicle Inventory,3029.09,0.00,1107.56,0.00,0.00,0.00,4136.65,3029.09,50,SYNTHETIC-DMS-ACCOUNTING
IAS-00000210,GSA-003,VEH-0000304,2025-07-31,2025-07-01,Used Vehicle Inventory,3617.62,325.00,1260.58,0.00,0.00,0.00,5203.20,3617.62,30,SYNTHETIC-DMS-ACCOUNTING
IAS-00000211,GSA-003,VEH-0000316,2025-07-31,2025-06-19,Used Vehicle Inventory,33530.91,325.00,1638.79,0.00,0.00,0.00,35494.70,0.00,42,SYNTHETIC-DMS-ACCOUNTING
IAS-00000212,GSA-003,VEH-0000322,2025-07-31,2025-05-30,Used Vehicle Inventory,30795.98,0.00,755.90,575.00,0.00,0.00,32126.88,30795.98,62,SYNTHETIC-DMS-ACCOUNTING
IAS-00000213,GSA-003,VEH-0000330,2025-07-31,2025-06-13,Used Vehicle Inventory,8196.08,0.00,1862.94,0.00,0.00,0.00,10059.02,8196.08,48,SYNTHETIC-DMS-ACCOUNTING
IAS-00000214,GSA-003,VEH-0000342,2025-07-31,2025-05-22,Used Vehicle Inventory,8684.12,0.00,2577.87,0.00,0.00,0.00,11261.99,8684.12,70,SYNTHETIC-DMS-ACCOUNTING
IAS-00000215,GSA-003,VEH-0000356,2025-07-31,2025-07-28,Used Vehicle Inventory,12090.38,450.00,1172.87,0.00,0.00,0.00,13713.25,12090.38,3,SYNTHETIC-DMS-ACCOUNTING
IAS-00000216,GSA-003,VEH-0000359,2025-07-31,2025-06-12,Used Vehicle Inventory,9762.75,0.00,2858.32,0.00,0.00,0.00,12621.07,0.00,49,SYNTHETIC-DMS-ACCOUNTING
IAS-00000217,GSA-003,VEH-0000375,2025-07-31,2025-05-07,Used Vehicle Inventory,13691.12,450.00,2388.99,0.00,0.00,0.00,16530.11,13691.12,85,SYNTHETIC-DMS-ACCOUNTING
IAS-00000218,GSA-003,VEH-0000414,2025-07-31,2025-06-21,Used Vehicle Inventory,23360.80,0.00,1125.36,0.00,0.00,0.00,24486.16,23360.80,40,SYNTHETIC-DMS-ACCOUNTING
IAS-00000219,GSA-003,VEH-0000417,2025-07-31,2025-05-17,Used Vehicle Inventory,9539.52,0.00,1264.69,0.00,0.00,0.00,10804.21,0.00,75,SYNTHETIC-DMS-ACCOUNTING
IAS-00000220,GSA-003,VEH-0000426,2025-07-31,2025-05-08,Used Vehicle Inventory,6269.60,450.00,1687.12,0.00,0.00,0.00,8406.72,6269.60,84,SYNTHETIC-DMS-ACCOUNTING
IAS-00000221,GSA-003,VEH-0000430,2025-07-31,2025-07-30,Used Vehicle Inventory,1792.22,0.00,785.98,0.00,0.00,0.00,2578.20,0.00,1,SYNTHETIC-DMS-ACCOUNTING
IAS-00000222,GSA-003,VEH-0000460,2025-07-31,2025-07-05,Used Vehicle Inventory,9587.77,325.00,2005.82,880.00,0.00,0.00,12798.59,9587.77,26,SYNTHETIC-DMS-ACCOUNTING
IAS-00000223,GSA-003,VEH-0000464,2025-07-31,2025-07-01,Used Vehicle Inventory,11527.75,0.00,2136.21,0.00,0.00,0.00,13663.96,0.00,30,SYNTHETIC-DMS-ACCOUNTING
IAS-00000224,GSA-003,VEH-0000492,2025-07-31,2025-04-18,Used Vehicle Inventory,8224.99,0.00,2458.50,575.00,0.00,0.00,11258.49,0.00,104,SYNTHETIC-DMS-ACCOUNTING
IAS-00000225,GSA-003,VEH-0000511,2025-07-31,2025-07-05,Used Vehicle Inventory,15595.46,0.00,2472.07,0.00,0.00,0.00,18067.53,15595.46,26,SYNTHETIC-DMS-ACCOUNTING
IAS-00000226,GSA-003,VEH-0000523,2025-07-31,2025-07-09,Used Vehicle Inventory,2562.88,0.00,986.35,0.00,0.00,0.00,3549.23,2562.88,22,SYNTHETIC-DMS-ACCOUNTING
IAS-00000227,GSA-003,VEH-0000534,2025-07-31,2025-06-24,Used Vehicle Inventory,14984.19,450.00,843.85,0.00,0.00,0.00,16278.04,14984.19,37,SYNTHETIC-DMS-ACCOUNTING
IAS-00000228,GSA-003,VEH-0000560,2025-07-31,2025-07-15,Used Vehicle Inventory,43410.62,325.00,693.97,0.00,0.00,0.00,44429.59,0.00,16,SYNTHETIC-DMS-ACCOUNTING
IAS-00000229,GSA-003,VEH-0000567,2025-07-31,2025-07-14,Used Vehicle Inventory,10204.97,450.00,1301.77,249.00,0.00,0.00,12205.74,10204.97,17,SYNTHETIC-DMS-ACCOUNTING
IAS-00000230,GSA-003,VEH-0000583,2025-07-31,2025-04-24,Used Vehicle Inventory,3499.46,450.00,1229.86,0.00,0.00,0.00,5179.32,3499.46,98,SYNTHETIC-DMS-ACCOUNTING
IAS-00000231,GSA-003,VEH-0000601,2025-07-31,2025-07-22,Used Vehicle Inventory,10005.39,450.00,1116.97,0.00,0.00,0.00,11572.36,10005.39,9,SYNTHETIC-DMS-ACCOUNTING
IAS-00000232,GSA-003,VEH-0000614,2025-07-31,2025-06-17,Used Vehicle Inventory,20722.74,450.00,3095.08,0.00,0.00,0.00,24267.82,0.00,44,SYNTHETIC-DMS-ACCOUNTING
IAS-00000233,GSA-003,VEH-0000623,2025-07-31,2025-07-17,Used Vehicle Inventory,18950.41,0.00,692.63,880.00,0.00,0.00,20523.04,0.00,14,SYNTHETIC-DMS-ACCOUNTING
IAS-00000234,GSA-003,VEH-0000632,2025-07-31,2025-05-23,Used Vehicle Inventory,40388.84,0.00,602.05,0.00,0.00,0.00,40990.89,40388.84,69,SYNTHETIC-DMS-ACCOUNTING
IAS-00000235,GSA-003,VEH-0000649,2025-07-31,2025-06-14,Used Vehicle Inventory,9456.83,450.00,2778.78,0.00,0.00,0.00,12685.61,9456.83,47,SYNTHETIC-DMS-ACCOUNTING
IAS-00000236,GSA-003,VEH-0000676,2025-07-31,2025-06-28,Used Vehicle Inventory,15132.33,450.00,1161.22,0.00,0.00,0.00,16743.55,15132.33,33,SYNTHETIC-DMS-ACCOUNTING
IAS-00000237,GSA-003,VEH-0000679,2025-07-31,2025-07-22,Used Vehicle Inventory,9088.27,0.00,1778.14,0.00,0.00,0.00,10866.41,9088.27,9,SYNTHETIC-DMS-ACCOUNTING
IAS-00000238,GSA-003,VEH-0000707,2025-07-31,2025-04-22,Used Vehicle Inventory,15152.80,450.00,1789.60,0.00,0.00,0.00,17392.40,15152.80,100,SYNTHETIC-DMS-ACCOUNTING
IAS-00000239,GSA-003,VEH-0000719,2025-07-31,2025-07-01,Used Vehicle Inventory,15945.76,0.00,1371.62,0.00,0.00,0.00,17317.38,15945.76,30,SYNTHETIC-DMS-ACCOUNTING
IAS-00000240,GSA-003,VEH-0000732,2025-07-31,2025-07-16,Used Vehicle Inventory,7371.59,0.00,2236.61,0.00,0.00,0.00,9608.20,7371.59,15,SYNTHETIC-DMS-ACCOUNTING
IAS-00000241,GSA-003,VEH-0000739,2025-07-31,2025-07-01,Used Vehicle Inventory,1797.33,0.00,787.31,0.00,0.00,0.00,2584.64,1797.33,30,SYNTHETIC-DMS-ACCOUNTING
IAS-00000242,GSA-003,VEH-0000753,2025-07-31,2025-07-09,Used Vehicle Inventory,5683.27,0.00,1382.76,0.00,0.00,0.00,7066.03,5683.27,22,SYNTHETIC-DMS-ACCOUNTING
IAS-00000243,GSA-003,VEH-0000755,2025-07-31,2025-07-28,Used Vehicle Inventory,2721.47,0.00,1027.58,0.00,0.00,0.00,3749.05,2721.47,3,SYNTHETIC-DMS-ACCOUNTING
IAS-00000244,GSA-003,VEH-0000757,2025-07-31,2025-04-10,Used Vehicle Inventory,26335.83,450.00,3001.65,0.00,0.00,0.00,29787.48,0.00,112,SYNTHETIC-DMS-ACCOUNTING
IAS-00000245,GSA-003,VEH-0000760,2025-07-31,2025-07-30,Used Vehicle Inventory,5931.05,0.00,1862.07,0.00,0.00,0.00,7793.12,0.00,1,SYNTHETIC-DMS-ACCOUNTING
IAS-00000246,GSA-003,VEH-0000776,2025-07-31,2025-07-08,Used Vehicle Inventory,27988.42,0.00,2479.90,0.00,0.00,0.00,30468.32,0.00,23,SYNTHETIC-DMS-ACCOUNTING
IAS-00000247,GSA-003,VEH-0000797,2025-07-31,2025-06-26,Used Vehicle Inventory,2874.32,0.00,1067.32,0.00,0.00,0.00,3941.64,2874.32,35,SYNTHETIC-DMS-ACCOUNTING
IAS-00000248,GSA-003,VEH-0000813,2025-07-31,2025-07-09,Used Vehicle Inventory,24415.72,0.00,1925.22,0.00,0.00,0.00,26340.94,0.00,22,SYNTHETIC-DMS-ACCOUNTING
IAS-00000249,GSA-003,VEH-0000819,2025-07-31,2025-06-12,Used Vehicle Inventory,1989.45,0.00,837.26,0.00,0.00,0.00,2826.71,1989.45,49,SYNTHETIC-DMS-ACCOUNTING
IAS-00000250,GSA-003,VEH-0000837,2025-07-31,2025-05-07,Used Vehicle Inventory,23511.00,0.00,1293.56,0.00,0.00,0.00,24804.56,0.00,85,SYNTHETIC-DMS-ACCOUNTING
IAS-00000251,GSA-003,VEH-0000839,2025-07-31,2025-07-04,Used Vehicle Inventory,3153.69,0.00,1139.96,0.00,0.00,0.00,4293.65,0.00,27,SYNTHETIC-DMS-ACCOUNTING
IAS-00000252,GSA-003,VEH-0000854,2025-07-31,2025-06-30,Used Vehicle Inventory,2535.79,450.00,979.31,0.00,0.00,0.00,3965.10,0.00,31,SYNTHETIC-DMS-ACCOUNTING
IAS-00000253,GSA-003,VEH-0000861,2025-07-31,2025-06-16,Used Vehicle Inventory,3699.58,0.00,1281.89,0.00,0.00,0.00,4981.47,0.00,45,SYNTHETIC-DMS-ACCOUNTING
IAS-00000254,GSA-003,VEH-0000867,2025-07-31,2025-06-23,Used Vehicle Inventory,25129.64,325.00,1855.06,0.00,0.00,0.00,27309.70,25129.64,38,SYNTHETIC-DMS-ACCOUNTING
IAS-00000255,GSA-003,VEH-0000869,2025-07-31,2025-05-14,Used Vehicle Inventory,36040.45,0.00,1687.88,0.00,0.00,0.00,37728.33,36040.45,78,SYNTHETIC-DMS-ACCOUNTING
IAS-00000256,GSA-003,VEH-0000876,2025-07-31,2025-07-05,Used Vehicle Inventory,17142.40,450.00,1292.55,0.00,0.00,0.00,18884.95,0.00,26,SYNTHETIC-DMS-ACCOUNTING
IAS-00000257,GSA-003,VEH-0000891,2025-07-31,2025-07-19,Used Vehicle Inventory,31540.25,0.00,914.29,0.00,0.00,0.00,32454.54,31540.25,12,SYNTHETIC-DMS-ACCOUNTING
